Agriculture,Fishery,Forestry,Mining,Manufacturing,Other_Exports,Re-Exports_1,Total_Exports_(Customs_basis)
Rice,Crustaceans,,Crude_oil,Agro-manufacturing_Products,,,
Rubber,Fish,,"Mineral_products,_n.i.e.",Apparels_and_Textile_Materials,,,
Durian,"Cuttlefish,_squid,_octopus",,,Footware_and_parts,,,
Other_Fruits,"Fishery_products,_n.i.e.",,,Electronics,,,
"Horticultural_products,_n.i.e.",,,,Electrical_Appliances,,,
Animal_products,,,,Metal_&_Steel,,,
,,,,Automotive,,,
,,,,"Aircrafts,_ships,_floating_structures,_and_locomotive",,,
,,,,Machinery_&_Equipment,,,
,,,,Jewellery,,,
,,,,Chemicals_&_Petro-chemical_Products,,,
,,,,Petroleum_products,,,
,,,,Photographic_&_cinematographic_instruments_&_supplies,,,
,,,,Medicinal_and_surgical_equipment_and_supplies,,,
,,,,Toiletries_and_cosmetics,,,
,,,,Furniture_and_parts,,,
,,,,Other_Manufacturing_products,,,
